INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../src/EucTB.cpp in debug mode
   Compiling ../../../../src/EucSW.cpp in debug mode
   Compiling ../../../../src/EucHW_RC.cpp in debug mode
   Generating csim.exe
Euc Dist calculation: 
C_SW: 3311.1, C_HW: 3311.1
C_SW: 3483.39, C_HW: 3483.39
C_SW: 3357, C_HW: 3357
C_SW: 3344.6, C_HW: 3344.6
C_SW: 3281.68, C_HW: 3281.68
C_SW: 3260.72, C_HW: 3260.72
C_SW: 3467.51, C_HW: 3467.51
C_SW: 3281.53, C_HW: 3281.53
C_SW: 3365.96, C_HW: 3365.96
C_SW: 3271.19, C_HW: 3271.19
C_SW: 3288.92, C_HW: 3288.92
C_SW: 3476.33, C_HW: 3476.33
C_SW: 3260.86, C_HW: 3260.86
C_SW: 3334.31, C_HW: 3334.31
C_SW: 3381.77, C_HW: 3381.77
C_SW: 3235.17, C_HW: 3235.17
C_SW: 3277.46, C_HW: 3277.46
C_SW: 3417.42, C_HW: 3417.42
C_SW: 3379.23, C_HW: 3379.23
C_SW: 3343.51, C_HW: 3343.51
C_SW: 3356.83, C_HW: 3356.83
C_SW: 3347.07, C_HW: 3347.07
C_SW: 3220.57, C_HW: 3220.57
C_SW: 3323.93, C_HW: 3323.93
C_SW: 3373.99, C_HW: 3373.99
C_SW: 3449.61, C_HW: 3449.61
C_SW: 3261.36, C_HW: 3261.36
C_SW: 3261.87, C_HW: 3261.87
C_SW: 3295.54, C_HW: 3295.54
C_SW: 3338.05, C_HW: 3338.05
C_SW: 3338.6, C_HW: 3338.6
C_SW: 3308.73, C_HW: 3308.73
C_SW: 3312.17, C_HW: 3312.17
C_SW: 3230.18, C_HW: 3230.18
C_SW: 3429.58, C_HW: 3429.58
C_SW: 3370.32, C_HW: 3370.32
C_SW: 3306.41, C_HW: 3306.41
C_SW: 3224.12, C_HW: 3224.12
C_SW: 3474.05, C_HW: 3474.05
C_SW: 3352.57, C_HW: 3352.57
C_SW: 3334.43, C_HW: 3334.43
C_SW: 3398.24, C_HW: 3398.24
C_SW: 3120.73, C_HW: 3120.73
C_SW: 3283.79, C_HW: 3283.79
C_SW: 3399.33, C_HW: 3399.33
C_SW: 3301.96, C_HW: 3301.96
C_SW: 3330.3, C_HW: 3330.3
C_SW: 3341.05, C_HW: 3341.05
C_SW: 3353.94, C_HW: 3353.94
C_SW: 3267.33, C_HW: 3267.33
C_SW: 3271.33, C_HW: 3271.33
C_SW: 3366.22, C_HW: 3366.22
C_SW: 3395.14, C_HW: 3395.14
C_SW: 3405.96, C_HW: 3405.96
C_SW: 3392.1, C_HW: 3392.1
C_SW: 3360.72, C_HW: 3360.72
C_SW: 3240.9, C_HW: 3240.9
C_SW: 3320.53, C_HW: 3320.53
C_SW: 3321.54, C_HW: 3321.54
C_SW: 3302.22, C_HW: 3302.22
C_SW: 3263.67, C_HW: 3263.67
C_SW: 3392.22, C_HW: 3392.22
C_SW: 3291.28, C_HW: 3291.28
C_SW: 3335.7, C_HW: 3335.7
C_SW: 3321.16, C_HW: 3321.16
C_SW: 3256.62, C_HW: 3256.62
C_SW: 3341.89, C_HW: 3341.89
C_SW: 3269.45, C_HW: 3269.45
C_SW: 3347.68, C_HW: 3347.68
C_SW: 3311.62, C_HW: 3311.62
C_SW: 3205.78, C_HW: 3205.78
C_SW: 3330.87, C_HW: 3330.87
C_SW: 3252.94, C_HW: 3252.94
C_SW: 3292.21, C_HW: 3292.21
C_SW: 3264.32, C_HW: 3264.32
C_SW: 3297.29, C_HW: 3297.29
C_SW: 3285.78, C_HW: 3285.78
C_SW: 3350.96, C_HW: 3350.96
C_SW: 3331.71, C_HW: 3331.71
C_SW: 3339.55, C_HW: 3339.55
C_SW: 3240.21, C_HW: 3240.21
C_SW: 3274.75, C_HW: 3274.75
C_SW: 3299.38, C_HW: 3299.38
C_SW: 3260.32, C_HW: 3260.32
C_SW: 3321.67, C_HW: 3321.67
C_SW: 3320.21, C_HW: 3320.21
C_SW: 3380.03, C_HW: 3380.03
C_SW: 3451.49, C_HW: 3451.49
C_SW: 3374.26, C_HW: 3374.26
C_SW: 3363.8, C_HW: 3363.8
C_SW: 3241.79, C_HW: 3241.79
C_SW: 3287.72, C_HW: 3287.72
C_SW: 3286.02, C_HW: 3286.02
C_SW: 3377.46, C_HW: 3377.46
C_SW: 3354.6, C_HW: 3354.6
C_SW: 3370.69, C_HW: 3370.69
C_SW: 3245.56, C_HW: 3245.56
C_SW: 3371.55, C_HW: 3371.55
C_SW: 3358.49, C_HW: 3358.49
C_SW: 3420.76, C_HW: 3420.76
Number of errors: 0
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
